absorbuoti, absorbuoja, absorbavo
krieti, krieja, kriejo
krikdyti, krikdo, krikdė
krikštyti, krikštija, krikštijo
krikti, krinka, kriko
krimsti, krimsta, krimto
kristi, krenta, krito
kritikuoti, kritikuoja, kritikavo
krūptelėti, krūptelėja, krūptelėjo
krustelėti, krusteli, krustelėjo
krušti, kruša, krušo
krutėti, kruta, krutėjo
krutinti, krutina, krutino
krykštauti, krykštauja, krykštavo
krypti, krypsta, krypo
krypuoti, krypuoja, krypavo
kryžiuoti, kryžiuoja, kryžiavo
kuisti, kuičia, kuitė
kulti, kulia, kūlė
kuopti, kuopia, kuopė
kūrenti, kūrena, kūreno
kursuoti, kursuoja, kursavo
kurti, kuria, kūrė
kuštėti, kušta, kuštėjo
kutenti, kutena, kuteno
kvailinti, kvailina, kvailino
kvailioti, kvailioja, kvailiojo
kvalifikuoti, kvalifikuoja, kvalifikavo
kvatoti, kvatoja, kvatojo
kvepėti, kvepia, kvepėjo
kvėpinti, kvėpina, kvėpino
kvėpuoti, kvėpuoja, kvėpavo
kviesti, kviečia, kvietė
kylėti, kyli, kylėjo
kyšoti, kyšo, kyšojo
labinti, labina, labino
laidoti, laidoja, laidojo
laiduoti, laiduoja, laidavo
laidyti, laido, laidė
laikinti, laikina, laikino
laikyti, laiko, laikė
laimėti, laimi, laimėjo
laiminti, laimina, laimino
laipinti, laipina, laipino
laipioti, laipioja, laipiojo
laistyti, laisto, laistė
laisvėti, laisvėja, laisvėjo
laisvinti, laisvina, laisvino
laižyti, laižo, laižė
lakioti, lakioja, lakiojo
lakstyti, laksto, lakstė
lamdyti, lamdo, lamdė
landžioti, landžioja, landžiojo
lankstyti, lanksto, lankstė
lankyti, lanko, lankė
lašėti, laša, lašėjo
lašnoti, lašnoja, lašnojo
laukti, laukia, laukė
laužti, laužia, laužė
laužyti, laužo, laužė
lavinti, lavina, lavino
leisti, leidžia, leido
lekioti, lekioja, lekiojo
lėkti, lekia, lėkė
lemti, lemia, lėmė
lengvėti, lengvėja, lengvėjo
lengvinti, lengvina, lengvino
lenkti, lenkia, lenkė
lenktyniauti, lenktyniauja, lenktyniavo
lepinti, lepina, lepino
leptelėti, leptelėja, leptelėjo
lepti, lempa, lepo
lesinėti, lesinėja, lesinėjo
lesinti, lesina, lesino
lesti, lesa, lesė
lėtinti, lėtina, lėtino
liaupsinti, liaupsina, liaupsino
liepsnoti, liepsnoja, liepsnojo
liepti, liepia, liepė
liesti, liečia, lietė
lieti, lieja, liejo
lietuvinti, lietuvina, lietuvino
liežuvauti, liežuvauja, liežuvavo
lignuoti, linguoja, lingavo
likti, lieka, liko
likviduoti, likviduoja, likvidavo
lindėti, lindi, lindėjo
linguoti, linguoja, lingavo
linkčioti, linkčioja, linkčiojo
linkėti, linki, linkėjo
linksėti, linksi, linksėjo
linksmėti, linksmėja, linksmėjo
linksminti, linksmina, linksmino
linksniuoti, linksniuoja, linksniavo
linktelėti, linktelėja, linktelėjo
linkti, linksta, linko
lipdyti, lipdo, lipdė
lipti, lipa, lipo
liūdėti, liūdi, liūdėjo
liūdinti, liūdina, liūdino
liudyti, liudija, liudijo
lopyti, lopo, lopė
lošti, lošia, lošė
loti, loja, lojo
lukterėti, lukterėja, lukterėjo
luošinti, luošina, luošino
lupti, lupa, lupo
lūžti, lūžta, lūžo
lydėti, lydi, lydėjo
lydyti, lydo, lydė
lyginti, lygina, lygino
lynoti, lynoja, lynojo
lytėti, lyti, lytėjo
lyti, lyja, lijo
